,,,,,5D_returns,5D_returns,5D_returns,5D_returns,5D_returns,10D_returns,10D_returns,10D_returns,10D_returns,10D_returns
,,,,,count,mean,median,min,max,count,mean,median,min,max
10_cross_30,MACD_Signal_MACD,MACD_lim,abv_50,abv_200,,,,,,,,,,
0,0,0,0,0,4697,0.2243208439813557,0.07482709942514214,-99.57901293870731,965.5798861425981,4697,0.3419783722861225,0.34427040752123605,-99.52777858063327,829.5980012630604
0,0,0,0,1,3771,0.9112350475184348,0.20385437305264412,-99.63698569629435,1111.0320271327364,3771,1.0271909171858349,0.3749795840166097,-99.66330495384615,1088.1595564248971
0,0,0,1,0,360,-0.172400943992815,0.14729181774695171,-21.482424115877556,17.055630626784723,360,-0.3059111478928762,0.34673499763737026,-21.913224696494055,19.251158108849513
0,0,0,1,1,915,0.028106682668348478,0.3448730834180342,-99.67793142226358,18.067927531772675,915,0.3094364736163272,0.3236427588580502,-99.64603051369821,20.556256906925345
0,0,1,0,1,34,-0.5841316996848277,-0.300808496272114,-8.709030048279196,4.152810643221697,34,0.4675897302114502,1.0164219044498815,-9.028837383966287,6.674981465797651
0,0,1,1,0,179,0.04862226714260935,-0.08993755309871813,-13.60945954637305,12.796678112828857,179,0.9671241143898619,1.18731590119236,-12.594086063643267,14.616765420903604
0,0,1,1,1,1134,0.11316632160642237,0.1264343018288697,-79.99451492314557,18.16305319275999,1134,-0.04193742950224722,0.15456453852346552,-99.68470825381024,39.44809328135472
0,1,0,0,0,4308,0.34769888391939074,0.22494279399534645,-99.62723688705366,42.9680669833512,4308,0.7411150308697985,0.6992680524269571,-99.62826234726148,46.05096244724554
0,1,0,0,1,1577,0.4660729695470493,0.2619886213072527,-15.024588926390829,144.5930883462633,1577,0.7093504091464681,0.5566704720300304,-94.95795562858758,168.69469282772266
0,1,0,1,0,25,-0.3747600309913823,0.45133485901814424,-13.450169046337646,7.815992569215312,25,-2.4425234584729902,0.8923633628502587,-23.761405735072795,4.3648330308372305
0,1,0,1,1,11,0.5344379831740701,0.37663610660725577,-5.162702750458477,3.411615132485051,11,0.196102666707333,0.7570955794007741,-11.007945747794832,7.712827253056381
0,1,1,0,0,154,0.9831287538661553,0.46329587293582464,-5.612147625276728,21.402304568467496,154,1.5656228914856944,1.1545274532419683,-15.08320630885219,21.057841982649265
0,1,1,0,1,302,0.7339515589069148,0.597820452528649,-9.660101403484802,14.897957357261287,302,0.9986923585297829,0.6847714415319927,-18.45326608260225,22.736584140178273
0,1,1,1,0,161,0.3137315675088884,0.6824658557681086,-11.558183926274474,14.047511936966304,161,0.8251687174706215,1.0872924892107896,-11.640145019098874,22.282944402919806
0,1,1,1,1,348,0.6270804750482355,0.7767941746576706,-25.28127416970741,18.154051041125665,348,1.4060752083202481,0.9815097775407793,-33.2480332439155,16.8771997224111
1,0,0,0,0,248,0.4147261603332057,0.26224209686443034,-13.98304761169479,21.305392277085584,248,1.1060397641749502,1.252435542370434,-17.808722891436414,28.377842999328916
1,0,0,0,1,259,0.9799644195893151,0.7047468672511453,-7.9862948188182,10.92205699916386,259,0.8179077524749792,0.5551450272272579,-16.45032027910262,14.356750573627114
1,0,0,1,0,136,-0.26326821914406934,-0.10992961768293093,-13.285399001351031,11.829787997293845,136,-0.8043935831069713,-0.32322590750000624,-23.179212574055473,16.36706733828881
1,0,0,1,1,126,0.043214850946626734,-0.11185574137810897,-14.591512800113055,13.142482212611606,126,0.43320379686782173,0.2407469129819838,-9.166221815300625,12.769879311394632
1,0,1,0,0,196,0.4512130208245597,0.28157875439874125,-10.69979790827691,18.41894363039989,196,0.7450610311330161,0.25314206331798644,-15.953420532083909,24.73515732419205
1,0,1,0,1,287,0.2268655786545261,-0.07359216403858632,-11.466411006398438,9.437955536956979,287,0.5910808456466887,-0.07409401310300363,-12.494798550969676,14.459756234183887
1,0,1,1,0,1607,0.3301366151233444,0.04271059977524866,-16.985321825638362,34.564305621903394,1607,0.513124266334108,0.2856791505470492,-26.87811258865027,34.18973769087818
1,0,1,1,1,6125,0.41032638444073455,0.2822386912810497,-97.97967925386519,165.83045525995394,6125,0.7377899036811972,0.49362858541648513,-97.96619310720395,155.44063679467584
1,1,0,0,0,888,0.344308062047789,0.042974277024805316,-15.45568542952534,26.768745206493655,888,0.5060005517862736,0.4140686106732242,-25.624918404974807,26.561389572696008
1,1,0,0,1,277,0.5140478598398355,-0.40310484029934524,-10.206178656685267,170.96969255946112,277,0.0766959932583363,-0.18836590351630533,-15.539445648064568,27.581447018315714
1,1,0,1,0,29,-0.02607225981939155,0.0,-13.145524609838374,13.636547107950294,29,0.29804869530186956,0.04687571945559469,-8.86461462573834,9.659437641159272
1,1,0,1,1,3,0.18961977018778117,-1.2227265592298033,-3.691689328904721,5.483275198697868,3,-2.162506192561606,-3.097070476009837,-13.465896277978228,10.075448176303247
1,1,1,0,0,2299,0.40416214005668155,0.3198542298989777,-18.949523357047443,20.795159980680786,2299,0.8254517482408661,0.8060933955441064,-22.97511521347217,36.452662106069376
1,1,1,0,1,1735,0.24420197908199875,-0.01147961120667444,-79.83158882860715,317.1432225113681,1735,0.535216201408576,0.3834538206508086,-19.685272810929945,25.279265980689043
1,1,1,1,0,2629,0.4104722539278247,0.17680600746695735,-15.969329037599767,37.8795804259987,2629,0.7987830335481786,0.39121574942256926,-22.973737042568366,55.24570605405882
1,1,1,1,1,6359,0.355778098145559,0.2368459542832829,-97.86470205127557,94.70771910616361,6359,0.6759214128349722,0.4811429292599043,-97.8662274387522,53.323583725633995
