buy_date,swing_high,swing_low,buy_price,sell_price,sell_date,returns,holding_period,stock
2014-07-11,78.81900024414062,76.76,76.76,78.43,2014-07-25,2.18,14,NIFTYBEES
2014-09-26,81.63899993896484,78.68599700927734,80.4,81.27,2014-10-30,1.08,34,NIFTYBEES
2014-12-12,85.66300201416016,81.52300262451172,84.59,85.27,2015-01-16,0.8,35,NIFTYBEES
2015-03-16,87.73200225830078,83.95099639892578,87.28,87.3,2015-04-16,0.02,31,NIFTYBEES
2015-04-27,84.76100158691406,81.21499633789062,84.52,84.23,2015-05-25,-0.34,28,NIFTYBEES
2015-06-05,85.21800231933594,80.46600341796875,82.41,84.78,2015-07-02,2.88,27,NIFTYBEES
2015-08-18,86.43,76.66899871826172,86.43,81.59,2015-10-06,-5.6,49,NIFTYBEES
2015-11-06,81.4,77.08999633789062,81.4,79.8,2016-01-01,-1.97,56,NIFTYBEES
2016-01-12,77.38,70.77300262451172,77.38,75.42,2016-03-08,-2.53,56,NIFTYBEES
2016-06-27,84.28800201416016,82.61,82.61,84.08,2016-07-01,1.78,4,NIFTYBEES
2016-09-30,88.61299896240234,86.91300201416016,88.44,88.26,2016-10-24,-0.2,24,NIFTYBEES
2016-11-07,87.53199768066406,86.24199676513672,87.32,86.27,2016-11-11,-1.2,4,NIFTYBEES
2016-11-18,84.38999938964844,81.30899810791016,83.39,85.77,2017-01-06,2.85,49,NIFTYBEES
2017-01-31,88.72799682617188,88.44,88.44,88.26,2017-02-02,-0.2,2,NIFTYBEES
2017-06-28,99.20700073242188,97.5979995727539,97.99,98.53,2017-07-07,0.55,9,NIFTYBEES
2017-08-14,103.052001953125,100.31,100.31,102.98,2017-09-12,2.66,29,NIFTYBEES
2017-09-27,104.9729995727539,100.62200164794922,102.71,104.73,2017-10-16,1.97,19,NIFTYBEES
2017-12-05,107.78199768066406,103.77200317382812,105.22,107.36,2017-12-20,2.03,15,NIFTYBEES
2018-01-17,111.04900360107422,110.83,110.83,111.21,2018-01-18,0.34,1,NIFTYBEES
2018-02-07,109.54,104.5790023803711,109.54,103.38,2018-03-23,-5.62,44,NIFTYBEES
2018-05-22,112.62699890136719,107.86399841308594,109.59,112.06,2018-06-13,2.25,22,NIFTYBEES
2018-06-21,112.32,111.83499908447266,112.32,111.14,2018-06-26,-1.05,5,NIFTYBEES
2018-09-21,120.56,107.98300170898438,120.56,109.94,2018-11-06,-8.81,46,NIFTYBEES
2018-12-04,114.54000091552734,114.13,114.13,113.63,2018-12-20,-0.44,16,NIFTYBEES
2019-01-30,114.71199798583984,112.56,112.56,114.13,2019-02-06,1.39,7,NIFTYBEES
2019-05-09,122.60199737548828,117.22000122070312,122.4,122.09,2019-05-24,-0.25,15,NIFTYBEES
2019-07-09,124.51,113.86799621582031,124.51,119.9,2019-09-23,-3.7,76,NIFTYBEES
2019-12-13,129.92999267578125,13.020000457763672,127.74,130.2,2019-12-24,1.93,11,NIFTYBEES
2020-02-04,125.88,118.38999938964844,125.88,117.9,2020-03-06,-6.34,31,NIFTYBEES
2020-03-09,117.07,83.5199966430664,117.07,101.49,2020-04-22,-13.31,44,NIFTYBEES
2020-05-27,106.36000061035156,97.43,97.43,105.83,2020-06-04,8.62,8,NIFTYBEES
2020-09-07,135.55,123.70999908447266,135.55,125.03,2020-09-17,-7.76,10,NIFTYBEES
2020-10-28,135.8300018310547,119.8,119.8,143.98,2020-11-12,20.18,15,NIFTYBEES
2021-01-28,161.02999877929688,149.74,149.74,160.86,2021-02-09,7.43,12,NIFTYBEES
2021-03-22,179.77,153.2899932861328,179.77,169.15,2021-05-24,-5.91,63,NIFTYBEES
2021-05-27,170.85,166.7899932861328,170.85,178.1,2021-06-01,4.24,5,NIFTYBEES
2021-07-19,175.81,169.69000244140625,175.81,176.91,2021-08-09,0.63,21,NIFTYBEES
2021-11-24,193.36,192.4600067138672,193.36,194.03,2022-01-05,0.35,42,NIFTYBEES
2022-01-28,189.6999969482422,172.3300018310547,188.69,188.06,2022-03-22,-0.33,53,NIFTYBEES
2022-05-04,194.95,175.33999633789062,194.95,181.08,2022-06-06,-7.11,33,NIFTYBEES
2022-06-14,176.27999877929688,166.8699951171875,173.85,177.99,2022-07-11,2.38,27,NIFTYBEES
2022-08-23,192.49000549316406,186.8300018310547,191.69,191.65,2022-10-27,-0.02,65,NIFTYBEES
2022-12-09,208.53,202.47999572753906,208.53,203.78,2022-12-12,-2.28,3,NIFTYBEES
2023-01-13,197.88,186.10000610351562,197.88,193.66,2023-04-13,-2.13,90,NIFTYBEES
2023-08-09,218.41000366210938,212.75999450683594,217.93,218.45,2023-09-11,0.24,33,NIFTYBEES
2023-10-27,218.02000427246094,211.54,211.54,217.9,2023-11-20,3.01,24,NIFTYBEES
2020-12-23,309.489990234375,298.33,298.33,308.09,2020-12-29,3.27,6,UTIBANKETF
2021-01-27,341.45001220703125,303.239990234375,313.7,332.33,2021-02-03,5.94,7,UTIBANKETF
2021-02-18,44.71,32.630001068115234,44.71,34.81,2021-05-24,-22.14,95,UTIBANKETF
2021-06-21,35.81999969482422,34.59,34.59,36.11,2021-07-08,4.39,17,UTIBANKETF
2021-07-29,36.0099983215332,34.63999938964844,35.27,35.87,2021-08-12,1.7,14,UTIBANKETF
2021-08-24,36.220001220703125,35.17,35.17,36.77,2021-08-31,4.55,7,UTIBANKETF
2021-10-21,40.189998626708984,39.68,39.68,41.18,2021-10-25,3.78,4,UTIBANKETF
2021-11-22,38.41,34.599998474121094,38.41,38.84,2022-01-12,1.12,51,UTIBANKETF
2022-02-25,38.45000076293945,36.77,36.77,39.05,2022-04-05,6.2,39,UTIBANKETF
2022-05-05,36.16,32.7599983215332,36.16,34.38,2022-07-11,-4.92,67,UTIBANKETF
2022-08-30,40.38999938964844,38.89,38.89,40.55,2022-09-09,4.27,10,UTIBANKETF
2022-09-28,41.22999954223633,38.029998779296875,39.37,42.43,2022-10-24,7.77,26,UTIBANKETF
2022-12-23,43.01,39.560001373291016,43.01,41.57,2023-04-11,-3.35,109,UTIBANKETF
2023-08-10,45.900001525878906,44.540000915527344,45.69,45.95,2023-09-11,0.57,32,UTIBANKETF
2023-10-03,45.62,43.08000183105469,45.62,43.67,2023-11-17,-4.27,45,UTIBANKETF
2024-01-18,47.08,45.41999816894531,47.08,46.71,2024-02-06,-0.79,19,UTIBANKETF
2014-07-10,156.2689971923828,146.81399536132812,152.46,154.82,2014-08-21,1.55,42,BANKBEES
2014-09-26,164.96600341796875,155.47,155.47,165.67,2014-10-22,6.56,26,BANKBEES
2015-02-10,196.50799560546875,185.92,185.92,195.92,2015-03-05,5.38,23,BANKBEES
2015-03-23,189.08,173.76499938964844,189.08,182.01,2015-05-25,-3.74,63,BANKBEES
2015-06-08,186.23899841308594,174.71600341796875,177.38,184.57,2015-07-02,4.05,24,BANKBEES
2015-08-13,184.92,170.04100036621094,184.92,170.05,2015-09-23,-8.04,41,BANKBEES
2015-11-03,176.88,165.6820068359375,176.88,167.16,2015-12-17,-5.5,44,BANKBEES
2016-01-08,164.71,136.99099731445312,164.71,152.92,2016-03-08,-7.16,60,BANKBEES
2016-09-30,206.01699829101562,192.10899353027344,197.11,203.49,2016-11-11,3.24,42,BANKBEES
2016-11-23,189.93899536132812,178.48300170898438,188.94,189.45,2017-01-12,0.27,50,BANKBEES
2017-06-28,242.54100036621094,235.36,235.36,241.31,2017-07-14,2.53,16,BANKBEES
2017-08-14,251.23800659179688,245.13,245.13,250.26,2017-09-13,2.09,30,BANKBEES
2017-09-26,253.88499450683594,242.79400634765625,246.04,252.37,2017-10-26,2.57,30,BANKBEES
2017-12-04,261.114990234375,252.8820037841797,258.15,259.69,2018-01-09,0.6,36,BANKBEES
2018-02-07,266.36,240.51199340820312,266.36,253.23,2018-04-10,-4.93,62,BANKBEES
2018-06-26,274.36,274.2149963378906,274.36,272.83,2018-07-11,-0.56,15,BANKBEES
2018-09-05,286.97,250.56100463867188,286.97,262.18,2018-11-06,-8.64,62,BANKBEES
2019-01-29,284.77899169921875,271.52,271.52,277.68,2019-03-12,2.27,42,BANKBEES
2019-05-08,313.8089904785156,293.6889953613281,298.99,310.15,2019-05-21,3.73,13,BANKBEES
2019-06-19,309.83,275.9129943847656,309.83,298.5,2019-09-23,-3.66,96,BANKBEES
2019-12-20,330.7099914550781,33.12,33.12,329.3,2019-12-24,894.26,4,BANKBEES
2020-01-23,315.76,173.75999450683594,315.76,207.96,2020-06-03,-34.14,132,BANKBEES
2020-09-21,247.27999877929688,206.8000030517578,223.06,246.76,2020-10-22,10.62,31,BANKBEES
2021-01-28,307.53,304.1300048828125,307.53,309.17,2021-02-01,0.53,4,BANKBEES
2021-03-18,350.38,309.67999267578125,350.38,335.12,2021-04-30,-4.36,43,BANKBEES
2021-06-21,353.79998779296875,348.13,348.13,357.2,2021-07-20,2.61,29,BANKBEES
2021-10-06,400.3900146484375,371.85,371.85,398.8,2021-10-19,7.25,13,BANKBEES
2021-11-17,387.43,348.1499938964844,387.43,376.81,2022-01-06,-2.74,50,BANKBEES
2022-02-25,387.7900085449219,332.4200134277344,366.52,387.06,2022-04-05,5.6,39,BANKBEES
2022-04-26,368.33,329.4100036621094,368.33,352.88,2022-07-11,-4.19,76,BANKBEES
2022-09-20,417.02,412.1199951171875,417.02,413.92,2022-10-24,-0.74,34,BANKBEES
2022-12-22,438.17,395.80999755859375,438.17,418.6,2023-04-13,-4.47,112,BANKBEES
2023-06-19,450.80999755859375,449.14,449.14,452.22,2023-06-30,0.69,11,BANKBEES
2023-08-04,460.2699890136719,446.489990234375,456.38,458.69,2023-09-11,0.51,38,BANKBEES
2023-10-04,454.33,446.3500061035156,454.33,444.9,2023-10-23,-2.08,19,BANKBEES
2023-10-25,453.8299865722656,432.2300109863281,449.13,450.74,2023-11-30,0.36,36,BANKBEES
2024-01-18,479.32000732421875,457.510009765625,470.33,482.57,2024-02-21,2.6,34,BANKBEES
